,id,ro_dealerid,ro_vin,avg_ro_labor_price,avg_ro_parts_price,avg_customerpay,avg_customerpay_value,avg_warrantypay,avg_warrantypay_value,avg_otherpay,avg_otherpay_value,vehicle_warranty_date,vehicle_warranty_mileage,max_ro_mileage,recency,frequency,vehicle_age,last_service_date,cust_postal_code,cust_city,cust_state_code,retained_flag,vehicle_warranty_service_status,market_value,body_class,reliability,luxury,ronum,dealer_postal_code,distance,dealer_location_population,nearby_same_dealer,nearby_third_party
182977,742909282T3DFREV1DW115250,4515,2T3DFREV1DW115250,45.68,44.3,1,96.28,0,0,0,0,2016-01-01T00:00:00.0000000,36000,39646,260,1,5,2018-02-15T00:00:00.0000000,33404,SINGER ISLAND,FL,0,0,17502.74,11,73,0,110529,33403,69,110222,2,16
182978,25272409JTHBJ46G382164570,4515,JTHBJ46G382164570,101.21,127.18,1,244.225,0,0,0,0,2011-01-01T00:00:00.0000000,50000,58671,354,4,10,2017-11-13T00:00:00.0000000,33408,JUNO BEACH,FL,0,0,11253.69,8,76,1,110529,33403,44,110222,2,16
182979,744582441NXBR32E73Z009828,4515,1NXBR32E73Z009828,250.88,623.67,0,0,0.5,437.275,0.5,437.275,2006-01-01T00:00:00.0000000,36000,249993,249,1,15,2018-02-26T00:00:00.0000000,33404,RIVIERA BEACH,FL,0,0,3114.72,8,73,0,110529,33403,91,110222,2,16
182980,621259804T1BK36B26U079603,4515,4T1BK36B26U079603,34.25,23.07,0.583333333,47.785,0,0,0.416666667,9.988333333,2009-01-01T00:00:00.0000000,36000,212048,319,3,12,2017-12-18T00:00:00.0000000,33334,OAKLAND PARK,FL,0,0,5045.38,8,73,0,110529,33403,58,110222,2,16
182981,1149558JTMZD33V885110605,4515,JTMZD33V885110605,202.04,67.94,0.86,248.4368,0,0,0.14,40.4432,2011-01-01T00:00:00.0000000,36000,134189,283,1,10,2018-01-23T00:00:00.0000000,34956-9761,INDIANTOWN,FL,0,0,7719.61,11,73,0,110529,33403,46,110222,2,16
182982,758765095TDDKRFH3ES062199,4515,5TDDKRFH3ES062199,88.84,110.16,1,212.93,0,0,0,0,2017-01-01T00:00:00.0000000,36000,57005,203,1,4,2018-04-13T00:00:00.0000000,33409,WEST PALM BEACH,FL,0,0,23856.43,11,73,0,110529,33403,14,110222,2,16
182983,241804591FMJU1HT4FEF40827,4515,1FMJU1HT4FEF40827,28.16,22.38,0.89,45.30096667,0,0,0.11,8.7857,2018-01-01T00:00:00.0000000,36000,62919,350,3,3,2017-11-17T00:00:00.0000000,33412,WEST PALM BCH,FL,0,1,23499.56,9,65,0,110529,33403,7,110222,2,16
182984,241804591FTFW1CT3DFD76683,4515,1FTFW1CT3DFD76683,27.88,13.89,0.880952381,34.67047619,0,0,0.119047619,10.01333333,2016-01-01T00:00:00.0000000,36000,65001,175,21,5,2018-05-11T00:00:00.0000000,33412,WEST PALM BCH,FL,0,0,22347.82,7,65,0,110529,33403,63,110222,2,16
182985,11317585TBET34115S494366,4515,5TBET34115S494366,54.37,213.54,0.75,55.6275,0,0,0.25,132.245,2008-01-01T00:00:00.0000000,36000,126802,99,4,13,2018-07-26T00:00:00.0000000,33462,LANTANA,FL,0,0,8863.18,7,73,0,110529,33403,34,110222,2,16
182986,337913345TFLU4EN3FX129539,4515,5TFLU4EN3FX129539,49.73,23.42,0.428571429,41.87428571,0.071428571,6.008571429,0.5,25.80428571,2018-01-01T00:00:00.0000000,36000,40228,247,6,3,2018-02-28T00:00:00.0000000,33403,LAKE PARK,FL,0,0,27300.72,7,73,0,110529,33403,103,110222,2,16
182987,11229654T1BF3EK3AU092178,4515,4T1BF3EK3AU092178,62.88,525.17,0.268,19.06016,0.1,212.65,0.632,367.73984,2013-10-25T00:00:00.0000000,36000,16428,169,5,8,2018-05-17T00:00:00.0000000,33418-8488,PALM BEACH GARDENS,FL,0,0,10595.24,8,73,0,110529,33403,90,110222,2,16
182988,308069645TDYKRFH6FS059719,4515,5TDYKRFH6FS059719,117.06,176.42,0.75,306.2025,0.25,102.0675,0,0,2018-01-01T00:00:00.0000000,36000,5192,349,1,3,2017-11-18T00:00:00.0000000,33410,PALM BEACH GARDENS,FL,0,1,29276.94,11,73,0,110529,33403,10,110222,2,16
182989,606527424T1BE46K19U870965,4515,4T1BE46K19U870965,91.99,389.89,0,0,0.11,159.0215,0.89,322.8618333,2012-01-01T00:00:00.0000000,36000,85620,330,3,9,2017-12-07T00:00:00.0000000,33404,WEST PALM BEACH,FL,0,0,8091.29,8,73,0,110529,33403,51,110222,2,16
182990,71808875JTEBU5JR2C5095056,4515,JTEBU5JR2C5095056,376.32,321.29,0.33,230.2113,0.33,230.2113,0.33,230.2113,2015-06-01T00:00:00.0000000,36000,64717,324,1,6,2017-12-13T00:00:00.0000000,33469,TEQUESTA,FL,0,0,24308.11,11,73,0,110529,33403,75,110222,2,16
